Order ID,Order Date,Customer Name,Country,Product Name,Quantity,Sales
ORD040,2011-07-08,Sneha,India,Laptop,3,1308.28
ORD041,2011-05-08,Amit,Canada,Table,3,1230.07
ORD042,2011-02-04,Karan,Canada,Printer,7,4982.33
ORD043,2011-07-24,Sneha,USA,Headphones,5,1284.08
ORD044,2010-03-01,Amit,Australia,Keyboard,6,625.84
ORD045,2011-08-22,Rahul,Australia,Headphones,1,962.74
ORD046,2010-03-24,Priya,India,Chair,4,1734.35
ORD047,2011-08-07,Amit,Australia,Table,10,1278.84
ORD048,2011-11-05,Neha,Australia,Keyboard,5,1220.23
ORD049,2010-11-18,Ravi,UK,Table,3,2064.32
ORD050,2010-11-04,Priya,UK,Headphones,1,485.37
ORD051,2011-07-31,Sneha,India,Phone,9,2717.46
ORD052,2010-12-24,Neha,USA,Phone,5,999.3
ORD053,2011-07-11,Amit,Australia,Printer,9,3009.69
ORD054,2011-11-11,Karan,USA,Phone,2,1790.45
ORD055,2011-07-21,Karan,UK,Chair,10,2500.98
ORD056,2010-12-18,Pooja,UK,Table,5,4550.35
ORD057,2010-02-22,Karan,Canada,Phone,1,53.37
ORD058,2010-05-14,Pooja,USA,Printer,9,6483.46
ORD059,2011-07-29,Priya,India,Laptop,3,1704.93
ORD060,2011-01-14,Rahul,Australia,Keyboard,7,1197.51
ORD061,2010-11-12,Neha,India,Notebook,4,2791.85
ORD062,2011-11-14,Ravi,UK,Phone,10,7620.04
ORD063,2010-08-31,Ravi,USA,Chair,1,220.39
ORD064,2010-12-07,Karan,USA,Pen,3,2394.02
ORD065,2010-04-21,Pooja,India,Pen,4,958.38
ORD066,2011-04-17,Sneha,UK,Notebook,4,289.92
ORD067,2010-07-17,Karan,UK,Pen,2,1937.09
ORD068,2010-10-13,Ravi,Australia,Notebook,9,3281.33
ORD069,2010-01-29,Rahul,UK,Phone,10,9644.08
ORD070,2010-09-29,Ravi,India,Laptop,6,4452.71
ORD071,2010-11-18,Priya,Australia,Pen,7,6331.71
ORD072,2010-07-14,Ravi,India,Printer,1,543.92
ORD073,2011-07-06,Ravi,UK,Table,2,1902.86
ORD074,2010-12-05,Priya,UK,Keyboard,5,2658.83
ORD075,2011-11-14,Ravi,UK,Pen,5,2883.46
ORD076,2010-07-16,Rahul,Canada,Pen,10,5906.5
ORD077,2011-02-20,Karan,India,Monitor,5,1248.37
ORD078,2011-08-17,Pooja,UK,Keyboard,8,3760.41
ORD079,2010-08-07,Rahul,Canada,Monitor,2,639.19
ORD080,2011-11-11,Priya,UK,Keyboard,4,2756.62
ORD081,2010-08-19,Amit,USA,Table,1,282.6
ORD082,2011-05-02,Pooja,India,Keyboard,7,6242.81
ORD083,2011-08-13,Pooja,Canada,Table,7,1972.5
ORD084,2011-11-03,Ravi,India,Laptop,4,868.37
ORD085,2011-12-14,Amit,Canada,Monitor,9,2580.65
ORD086,2010-05-05,Pooja,USA,Headphones,9,8896.48
ORD087,2011-09-02,Ravi,Canada,Notebook,9,4262.56
ORD088,2010-06-12,Karan,Canada,Headphones,4,3391.48
ORD089,2010-10-11,Sneha,Canada,Monitor,5,2339.39
ORD090,2012-01-01,Karan,USA,Printer,6,2122.34
ORD091,2011-07-08,Rahul,USA,Phone,4,1655.53
ORD092,2010-06-06,Ravi,India,Table,7,2550.36
ORD093,2011-04-23,Sneha,India,Pen,7,2940.02
ORD094,2011-08-22,Ravi,Australia,Laptop,8,444.81
ORD095,2010-12-27,Ravi,Canada,Printer,9,6841.26
ORD096,2011-07-14,Pooja,USA,Keyboard,4,1237.15
ORD097,2011-05-13,Neha,Canada,Laptop,7,5165.81
ORD098,2011-04-24,Amit,Australia,Chair,7,4286.09
ORD099,2011-11-10,Ravi,India,Laptop,3,2620.53
ORD100,2010-07-06,Ravi,UK,Laptop,6,1506.46
ORD101,2010-12-01,Karan,Canada,Notebook,7,2027.61
ORD102,2010-03-25,Amit,India,Headphones,6,1578.07
ORD103,2010-03-12,Sneha,India,Laptop,4,3389.07
ORD104,2011-09-29,Rahul,USA,Chair,8,5487.89
ORD105,2011-08-01,Karan,Canada,Table,6,1256.4
ORD106,2011-09-14,Karan,USA,Phone,2,1199.5
ORD107,2010-11-16,Ravi,Canada,Keyboard,4,488.79
ORD108,2011-12-09,Karan,India,Table,10,8152.52
ORD109,2011-08-03,Ravi,UK,Laptop,6,693.05
ORD110,2011-10-26,Ravi,India,Notebook,8,1202.1
ORD111,2011-01-06,Ravi,USA,Headphones,3,2241.32
ORD112,2011-10-29,Pooja,Australia,Printer,8,3710.37
ORD113,2011-08-30,Sneha,UK,Printer,2,629.96
ORD114,2011-04-07,Ravi,Canada,Table,6,463.59
ORD115,2010-11-29,Sneha,Canada,Chair,6,4847.64
ORD116,2010-12-15,Karan,Australia,Printer,9,536.79
ORD117,2010-07-15,Ravi,USA,Phone,8,4619.34
ORD118,2010-09-04,Pooja,Canada,Headphones,1,138.4
ORD119,2010-08-15,Karan,USA,Pen,10,4005.69
ORD120,2011-07-21,Ravi,UK,Monitor,9,3278.27
ORD121,2011-12-21,Karan,UK,Headphones,5,1345.06
ORD122,2010-07-17,Rahul,India,Notebook,4,1022.26
ORD123,2011-05-11,Karan,Australia,Printer,2,1681.99
ORD124,2010-10-31,Rahul,UK,Table,5,317.2
ORD125,2011-07-01,Amit,UK,Chair,1,575.69
ORD126,2011-12-16,Priya,Canada,Chair,1,595.36
ORD127,2011-04-26,Neha,Canada,Headphones,3,2901.67
ORD128,2010-09-16,Priya,India,Headphones,7,3620.11
ORD129,2011-08-14,Rahul,USA,Laptop,10,9516.69
ORD130,2010-03-29,Ravi,India,Table,10,6163.21
ORD131,2011-09-26,Ravi,Australia,Table,8,7304.63
ORD132,2010-11-01,Karan,Canada,Keyboard,10,6399.76
ORD133,2011-09-17,Sneha,USA,Phone,5,3387.03
ORD134,2010-06-10,Priya,USA,Table,3,157.63
ORD135,2011-04-07,Karan,Canada,Keyboard,1,269.9
ORD136,2011-12-25,Priya,Canada,Printer,4,3710.86
ORD137,2011-10-03,Ravi,USA,Keyboard,2,1134.67
ORD138,2011-10-26,Rahul,UK,Chair,2,213.31
ORD139,2010-11-11,Karan,Australia,Keyboard,8,1345.09
ORD140,2011-12-07,Karan,Canada,Printer,9,5066.84
ORD141,2011-03-25,Amit,Australia,Phone,7,5234.65
ORD142,2011-09-11,Priya,India,Printer,4,3855.26
ORD143,2011-08-13,Karan,India,Keyboard,10,882.2
ORD144,2010-06-29,Pooja,Australia,Headphones,5,1112.07
ORD145,2011-08-23,Priya,Canada,Pen,8,3044.5
ORD146,2010-12-08,Rahul,India,Notebook,6,2646.38
ORD147,2011-05-23,Amit,Canada,Printer,8,1069.25
ORD148,2010-09-16,Ravi,India,Notebook,9,7503.13
ORD149,2010-01-02,Ravi,Canada,Monitor,1,228.2
ORD150,2011-01-06,Pooja,Canada,Keyboard,1,243.38
ORD151,2011-07-17,Pooja,UK,Chair,8,1322.84
ORD152,2011-10-08,Rahul,USA,Keyboard,5,2866.49
ORD153,2011-07-20,Sneha,India,Pen,2,976.75
ORD154,2010-05-01,Karan,Canada,Chair,9,6481.27
ORD155,2011-03-02,Sneha,Canada,Headphones,8,4589.61
ORD156,2011-01-28,Rahul,Australia,Table,2,624.87
ORD157,2011-03-01,Karan,Australia,Notebook,1,318.7
ORD158,2010-11-02,Pooja,Australia,Keyboard,3,1422.66
ORD159,2011-05-11,Ravi,UK,Notebook,8,7489.68
ORD160,2010-07-13,Ravi,Australia,Table,4,3452.85
ORD161,2011-02-25,Pooja,UK,Laptop,7,2917.42
ORD162,2011-11-11,Amit,Canada,Chair,3,1581.53
ORD163,2011-08-28,Pooja,India,Notebook,2,1099.31
ORD164,2011-04-13,Ravi,USA,Laptop,3,363.26
ORD165,2010-09-29,Ravi,Australia,Notebook,2,1718.35
ORD166,2011-11-22,Neha,Canada,Monitor,8,7030.11
ORD167,2010-02-06,Sneha,India,Keyboard,5,4987.77
ORD168,2010-04-03,Priya,India,Pen,8,1664.37
ORD169,2010-11-03,Neha,India,Laptop,1,328.7
ORD170,2011-01-19,Sneha,USA,Pen,9,3973.04
ORD171,2011-11-30,Rahul,USA,Chair,2,1258.03
ORD172,2011-01-27,Pooja,USA,Keyboard,10,1859.62
ORD173,2011-04-18,Karan,Canada,Printer,1,903.96
ORD174,2011-04-22,Rahul,Australia,Printer,2,939.29
ORD175,2010-12-20,Ravi,UK,Keyboard,5,2419.97
ORD176,2010-11-06,Pooja,Canada,Table,2,550.69
ORD177,2011-08-09,Karan,Australia,Notebook,5,354.21
ORD178,2011-11-06,Amit,UK,Pen,10,8718.14
ORD179,2010-02-20,Karan,Canada,Keyboard,4,2506.85
ORD180,2010-12-27,Karan,USA,Table,3,1940.51
ORD181,2011-10-05,Pooja,UK,Laptop,1,600.6
ORD182,2010-05-15,Neha,UK,Phone,7,1518.01
ORD183,2010-05-16,Karan,UK,Monitor,3,882.36
ORD184,2011-05-09,Priya,UK,Printer,8,7717.99
ORD185,2010-05-25,Neha,Canada,Table,2,1602.3
ORD186,2010-01-15,Priya,Australia,Printer,8,3201.25
ORD187,2011-11-20,Ravi,Australia,Printer,6,917.57
ORD188,2010-08-28,Neha,India,Headphones,10,2602.99
ORD189,2010-03-06,Ravi,UK,Headphones,2,365.58
ORD190,2010-02-08,Priya,Canada,Printer,2,546.12
ORD191,2011-07-05,Pooja,Canada,Chair,6,4121.77
ORD192,2011-12-15,Rahul,Canada,Monitor,7,4705.23
ORD193,2011-05-17,Karan,Canada,Keyboard,1,705.77
ORD194,2010-08-11,Sneha,Canada,Headphones,6,866.32
ORD195,2011-12-04,Neha,Australia,Notebook,1,428.23
ORD196,2010-07-14,Priya,Canada,Phone,4,2638.48
ORD197,2011-09-04,Neha,India,Laptop,4,3957.52
ORD198,2011-08-02,Sneha,India,Table,10,2551.54
ORD199,2010-08-27,Amit,USA,Notebook,5,4327.43
ORD200,2010-05-29,Karan,Australia,Chair,3,463.29
